<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.19	09:00:00	1.08814	1.08863	1.08746	1.08794	2516	0	0
2024.01.19	10:00:00	1.08794	1.08819	1.08681	1.08771	2423	0	0
2024.01.19	11:00:00	1.08770	1.08849	1.08714	1.08830	2571	0	0
2024.01.19	12:00:00	1.08830	1.08851	1.08731	1.08810	2168	0	0
2024.01.19	13:00:00	1.08810	1.08930	1.08793	1.08874	1829	0	0
2024.01.19	14:00:00	1.08873	1.08880	1.08801	1.08826	1884	0	0
2024.01.19	15:00:00	1.08826	1.08896	1.08754	1.08806	3345	0	0
2024.01.19	16:00:00	1.08805	1.08838	1.08657	1.08804	3821	0	0
2024.01.19	17:00:00	1.08853	1.08899	1.08698	1.08825	5334	0	0
2024.01.19	18:00:00	1.08825	1.08879	1.08807	1.08865	3244	0	0
2024.01.19	19:00:00	1.08866	1.08934	1.08800	1.08896	2530	0	0
2024.01.19	20:00:00	1.08896	1.08964	1.08858	1.08922	1845	0	0
2024.01.19	21:00:00	1.08923	1.08948	1.08880	1.08924	2272	0	0
2024.01.19	22:00:00	1.08924	1.08958	1.08900	1.08952	1615	0	0
2024.01.19	23:00:00	1.08950	1.08978	1.08940	1.08970	1097	0	0
2024.01.22	00:00:00	1.08899	1.08951	1.08815	1.08913	626	0	16
2024.01.22	01:00:00	1.08916	1.08975	1.08905	1.08922	958	0	0
2024.01.22	02:00:00	1.08922	1.09017	1.08914	1.09012	1348	0	0
2024.01.22	03:00:00	1.09012	1.09050	1.08989	1.09021	2195	0	0
2024.01.22	04:00:00	1.09021	1.09094	1.08998	1.09073	1288	0	0
2024.01.22	05:00:00	1.09074	1.09078	1.09014	1.09021	1209	0	0
2024.01.22	06:00:00	1.09021	1.09047	1.09009	1.09030	833	0	0
2024.01.22	07:00:00	1.09030	1.09047	1.08985	1.09016	1238	0	0
2024.01.22	08:00:00	1.09016	1.09096	1.09016	1.09050	1796	0	0
2024.01.22	09:00:00	1.09047	1.09081	1.08974	1.08978	2769	0	0
2024.01.22	10:00:00	1.08974	1.09010	1.08873	1.08919	3623	0	0
2024.01.22	11:00:00	1.08919	1.09024	1.08900	1.08970	2568	0	0
2024.01.22	12:00:00	1.08970	1.08971	1.08859	1.08868	2258	0	0
2024.01.22	13:00:00	1.08867	1.08904	1.08816	1.08901	2178	0	0
2024.01.22	14:00:00	1.08901	1.08997	1.08882	1.08927	2744	0	0
2024.01.22	15:00:00	1.08925	1.08953	1.08801	1.08917	3749	0	0
2024.01.22	16:00:00	1.08917	1.08964	1.08853	1.08898	3602	0	0
2024.01.22	17:00:00	1.08897	1.08982	1.08827	1.08854	3755	0	0
2024.01.22	18:00:00	1.08854	1.08945	1.08821	1.08940	2546	0	0
2024.01.22	19:00:00	1.08941	1.09000	1.08908	1.08964	1938	0	0
2024.01.22	20:00:00	1.08964	1.08965	1.08840	1.08902	2152	0	0
2024.01.22	21:00:00	1.08902	1.08911	1.08804	1.08850	2032	0	0
2024.01.22	22:00:00	1.08850	1.08856	1.08804	1.08842	1835	0	0
2024.01.22	23:00:00	1.08842	1.08849	1.08817	1.08826	861	0	0
2024.01.23	00:00:00	1.08813	1.08847	1.08784	1.08806	920	0	3
2024.01.23	01:00:00	1.08807	1.08819	1.08770	1.08774	703	0	0
2024.01.23	02:00:00	1.08775	1.08841	1.08758	1.08832	1016	0	0
2024.01.23	03:00:00	1.08832	1.08887	1.08769	1.08885	1464	0	0
2024.01.23	04:00:00	1.08885	1.08941	1.08850	1.08875	1948	0	0
2024.01.23	05:00:00	1.08875	1.08952	1.08854	1.08929	2175	0	0
2024.01.23	06:00:00	1.08928	1.08988	1.08918	1.08986	1089	0	0
2024.01.23	07:00:00	1.08988	1.09080	1.08969	1.09070	1284	0	0
2024.01.23	08:00:00	1.09070	1.09142	1.09017	1.09141	2325	0	0
